symbol,prediction_session,target_session,close_D,close_D1,high_D1,low_D1,open_D1,volume_D,volume_D1,return,ratio,session_index,total_sessions,mean_close_20_before,mean_close_20_after,pre_distinct_closes_20,pre_zero_volume_bars_20,provenance,corporate_action,series_change,economically_real,data_error,listing_boundary,classification,evidence
POCL.NS,2019-06-24,2023-03-06,1.2,67.9,71.3,65.3,71.3,5.0,81375.0,55.5833,56.5833,114,983,1.2499999999999996,61.06666666666666,3,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 3 distinct closes across 20 sessions
TEMBO.NS,2018-07-12,2018-08-13,0.15,6.95,6.95,6.9,6.95,4850.0,2560000.0,45.3333,46.3333,3,1572,0.15,4.628571428571429,1,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 3 of 1572 — start-of-series boundary
BAJAJHCARE.NS,2018-02-01,2021-11-25,9.46,362.95,380.55,351.0,378.4,10000.0,120998.0,37.3668,38.3668,14,1202,8.492307692307692,376.56428571428575,5,4,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 8.49->376.56 with volume moving inversely (10,000->120,998) — adjustment applied to one segment only"
LIQUID1.NS,2019-09-16,2023-02-01,30.95,999.99,1000.01,999.99,1000.01,417.0,2534.0,31.3099,32.3099,97,931,29.514999999999997,999.997142857143,18,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 29.51->1000.00 with volume moving inversely (417->2,534) — adjustment applied to one segment only"
KFINTECH.NS,2018-05-29,2022-12-29,11.95,363.85,373.0,351.0,367.0,499995.0,7525533.0,29.4477,30.4477,2,917,11.0,339.7357142857142,2,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 2 of 917 — start-of-series boundary
AARTIPHARM.NS,2017-07-18,2023-01-30,10.05,288.25,314.85,286.1,299.9,153960.0,329027.0,27.6816,28.6816,18,912,12.74705882352941,295.31190476190477,18,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,persistent splice 12.75->295.31; no volume or liveness signature to attribute a cause
LANDSMILL.NS,2020-01-01,2020-01-02,0.05,1.2,1.2,1.1,1.1,694410.0,12285.0,23,24,817,2475,0.5025000000000004,1.0928571428571427,5,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,DATA_ERROR,isolated bar: D close 0.05 sits 90% off its 21-bar neighbourhood mean 0.50
LCCINFOTEC.NS,2018-07-02,2021-03-31,0.25,5.45,5.7,5.45,5.7,1400.0,47604.0,20.8,21.8,294,1616,0.4525000000000001,3.419047619047619,7,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
SURYODAY.NS,2019-04-16,2021-03-26,15.2,277.8,296.35,255.0,292.0,75.0,4172010.0,17.2763,18.2763,407,1758,17.249999999999996,258.8142857142857,18,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 17.25->258.81 with volume moving inversely (75->4,172,010) — adjustment applied to one segment only"
ASIANENE.NS,2018-02-06,2021-12-09,8.0,143.05,152.4,141.1,150.9,148675.0,85404.0,16.8813,17.8813,23,1189,9.444999999999999,135.7595238095238,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,persistent splice 9.44->135.76; no volume or liveness signature to attribute a cause
LANDSMILL.NS,2021-05-19,2021-05-20,0.15,2.5,2.6,2.5,2.5,1485720.0,129699.0,15.6667,16.6667,1158,2475,0.14499999999999996,2.5642857142857145,3,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 3 distinct closes across 20 sessions
LANDSMILL.NS,2019-07-17,2019-07-18,0.1,1.65,1.65,1.65,1.65,55100.0,5390.0,15.5,16.5,706,2475,0.3324999999999997,1.245238095238095,3,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 3 distinct closes across 20 sessions
LANDSMILL.NS,2022-04-20,2022-04-21,0.5,8.2,8.2,7.6,7.65,7828100.0,253241.0,15.4,16.4,1387,2475,2.5275000000000007,6.535714285714285,10,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,DATA_ERROR,isolated bar: D close 0.5 sits 80% off its 21-bar neighbourhood mean 2.53
LANDSMILL.NS,2020-12-03,2020-12-04,0.1,1.6,1.6,1.5,1.55,400850.0,52304.0,15,16,1047,2475,0.07,2.2380952380952377,2,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 2 distinct closes across 20 sessions
LANDSMILL.NS,2021-12-01,2021-12-02,0.3,4.65,4.65,4.65,4.65,1220990.0,17855.0,14.5,15.5,1292,2475,0.21750000000000003,6.985714285714287,3,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 3 distinct closes across 20 sessions
PARASPETRO.NS,2017-07-24,2022-12-23,0.1,1.5,1.55,1.45,1.5,5423.0,1312514.0,14,15,105,1024,0.15499999999999997,1.216666666666667,4,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 0.15->1.22 with volume moving inversely (5,423->1,312,514) — adjustment applied to one segment only"
LANDSMILL.NS,2019-04-24,2019-04-25,0.1,1.45,1.55,1.45,1.55,69780.0,11552.0,13.5,14.5,649,2475,0.10000000000000002,1.0952380952380951,1,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,pre-segment frozen: only 1 distinct closes across 20 sessions
LANDSMILL.NS,2017-12-06,2017-12-07,7.25,103.4,105.0,103.4,103.55,34020930.0,10063.0,13.2621,14.2621,310,2475,7.5725,98.59285714285716,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 7.57->98.59 with volume moving inversely (34,020,930->10,063) — adjustment applied to one segment only"
SHANTI.NS,2018-10-26,2018-10-30,18.85,263.25,273.0,256.2,269.5,3000.0,26006.0,12.9655,13.9655,231,1632,20.220000000000002,209.2452380952381,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 20.22->209.25 with volume moving inversely (3,000->26,006) — adjustment applied to one segment only"
SHANTI.NS,2018-11-01,2018-11-02,19.4,259.9,272.5,250.5,261.35,3000.0,8434.0,12.3969,13.3969,234,1632,44.51500000000001,185.28095238095233,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
HARDWYN.NS,2022-05-05,2022-05-06,6.35,80.34,80.34,80.34,80.34,2739089.0,11457.0,11.652,12.652,15,1094,4.6207142857142856,78.54380952380953,15,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 4.62->78.54 with volume moving inversely (2,739,089->11,457) — adjustment applied to one segment only"
SHANTI.NS,2018-11-26,2018-11-27,20.2,230.85,234.9,220.1,230.4,12000.0,39788.0,10.4282,11.4282,248,1632,198.07999999999998,38.35000000000001,20,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
SHANTI.NS,2018-11-29,2018-11-30,19.35,216.45,235.0,212.1,235.0,3000.0,30917.0,10.186,11.186,251,1632,208.85999999999999,28.3404761904762,19,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
BSHSL.NS,2021-02-01,2021-02-02,13.55,139.75,140.9,128.6,130.0,45100.0,8833.0,9.31365,10.3137,66,1454,11.589999999999998,137.12142857142854,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 11.59->137.12 with volume moving inversely (45,100->8,833) — adjustment applied to one segment only"
BSHSL.NS,2021-07-28,2021-07-29,32.0,326.4,332.0,305.0,305.0,255760.0,3702.0,9.2,10.2,186,1454,26.155,315.3595238095238,19,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 26.16->315.36 with volume moving inversely (255,760->3,702) — adjustment applied to one segment only"
BSHSL.NS,2022-03-28,2022-03-29,40.45,397.95,410.0,384.35,410.0,79070.0,9918.0,8.83807,9.83807,351,1454,36.50250000000001,420.85238095238094,19,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 36.50->420.85 with volume moving inversely (79,070->9,918) — adjustment applied to one segment only"
SAKUMA.NS,2017-11-13,2017-11-14,4.93,46.85,49.51,46.85,49.51,15061395.0,140050.0,8.50304,9.50304,293,2477,4.1815,37.282857142857154,18,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 4.18->37.28 with volume moving inversely (15,061,395->140,050) — adjustment applied to one segment only"
ADL.NS,2019-02-27,2020-10-01,2.5,22.85,25.25,22.85,24.05,25242.0,26226.0,8.14,9.14,449,1917,2.13,20.24523809523809,15,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,persistent splice 2.13->20.25; no volume or liveness signature to attribute a cause
DHRUV.NS,2018-07-31,2021-11-25,10.0,79.2,79.2,64.35,68.95,0.0,365585.0,6.92,7.92,12,1199,10.0,64.60714285714286,1,8,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,zero-volume placeholder bar at the transition
CCCL.NS,2023-05-24,2024-09-03,1.5,11.44,11.44,10.9,10.9,119406.0,5711973.0,6.62667,7.62667,1228,1728,1.3775,20.007619047619052,7,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
LATENTVIEW.NS,2019-08-05,2021-11-23,65.06,488.75,548.0,461.1,512.2,2.0,28823707.0,6.5123,7.5123,16,1206,71.58266666666665,611.0666666666667,15,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 71.58->611.07 with volume moving inversely (2->28,823,707) — adjustment applied to one segment only"
INTLCONV.NS,2017-10-31,2021-09-16,10.0,73.25,75.45,72.6,72.9,350.0,35222.0,6.325,7.325,169,1404,10.351500000000001,70.4047619047619,8,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 10.35->70.40 with volume moving inversely (350->35,222) — adjustment applied to one segment only"
MOLOWVOL.NS,2018-03-16,2022-03-30,3.2,22.45,23.0,22.4,22.6,12000.0,335.0,6.01562,7.01562,126,1228,4.442500000000001,22.983333333333334,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 4.44->22.98 with volume moving inversely (12,000->335) — adjustment applied to one segment only"
MEDANTA.NS,2017-01-24,2022-11-16,60.2,415.3,424.65,390.55,401.0,1.0,49322680.0,5.89867,6.89867,6,952,58.9,450.24285714285713,6,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 6 of 952 — start-of-series boundary
BEARDSELL.NS,2016-10-10,2016-10-13,44.8,282.4,282.4,282.4,282.4,11.0,2370.0,5.30357,6.30357,23,2472,33.075,426.4214285714286,19,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 33.08->426.42 with volume moving inversely (11->2,370) — adjustment applied to one segment only"
WEWIN.NS,2017-10-31,2017-11-01,11.95,68.7,70.7,67.4,67.95,18000.0,10026196.0,4.74895,5.74895,284,2113,35.10000000000001,39.72857142857142,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
BEARDSELL.NS,2017-03-29,2017-03-30,72.55,413.65,435.15,413.65,415.55,21150.0,1956.0,4.70159,5.70159,138,2472,69.2325,379.6214285714285,20,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 69.23->379.62 with volume moving inversely (21,150->1,956) — adjustment applied to one segment only"
WEWIN.NS,2017-10-27,2017-10-30,11.95,68.0,68.85,66.05,66.05,18000.0,6082160.0,4.69038,5.69038,282,2113,32.3775,41.928571428571416,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
WEWIN.NS,2017-11-17,2017-11-20,11.5,65.05,66.9,64.5,65.5,36000.0,1584532.0,4.65652,5.65652,297,2113,35.27999999999999,33.40714285714286,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
WEWIN.NS,2017-11-15,2017-11-16,11.65,64.8,65.25,62.5,62.95,27000.0,4021264.0,4.56223,5.56223,295,2113,32.6425,32.930952380952384,15,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
GVPTECH.NS,2022-09-21,2022-09-22,6.75,37.0,37.0,37.0,37.0,505.0,1090.0,4.48148,5.48148,10,992,5.327777777777778,66.35714285714286,10,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,YES,LISTING/RELISTING,session 10 of 992 — start-of-series boundary
WEWIN.NS,2017-11-07,2017-11-08,11.95,63.1,64.95,62.65,64.05,45000.0,3783309.0,4.28033,5.28033,289,2113,31.202500000000004,39.47857142857143,15,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
WEWIN.NS,2017-10-23,2017-10-24,11.15,58.5,58.8,54.5,54.8,9000.0,8383168.0,4.24664,5.24664,278,2113,34.7375,39.197619047619035,17,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
AJOONI.NS,2021-05-19,2021-05-20,8.4,43.4,43.55,41.95,41.95,1910009.0,191419.0,4.16667,5.16667,17,1334,314.72812500000003,45.96666666666666,15,1,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,DATA_ERROR,isolated bar: D close 8.4 sits 97% off its 21-bar neighbourhood mean 314.73
NILAINFRA.NS,2018-06-13,2018-06-14,3.1,15.75,15.75,15.0,15.0,10921541.0,220440.0,4.08065,5.08065,438,2477,3.0125,13.483333333333333,9,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),YES,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,SERIES_CHANGE,"persistent splice 3.01->13.48 with volume moving inversely (10,921,541->220,440) — adjustment applied to one segment only"
VINEETLAB.NS,2019-05-08,2021-06-15,9.9,46.2,46.2,44.0,44.0,50000.0,36114.0,3.66667,4.66667,388,1687,1427.985,75.87380952380951,16,5,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,SYNTHETIC/BAD_BAR,5 of the 20 sessions before D have zero volume
WEWIN.NS,2017-10-05,2017-10-06,12.65,58.45,58.8,58.0,58.1,9000.0,2751149.0,3.62055,4.62055,268,2113,31.695,30.285714285714292,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
MIDSELIETF.NS,2016-12-05,2016-12-06,5.2,23.66,24.18,23.6,23.98,3470.0,177690.0,3.55,4.55,60,2477,5.2485,7.7957142857142845,16,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),NO,NO — exceeds every NSE price band and is not reachable intraday,YES,NO,DATA_ERROR,isolated bar: D+1 close 23.66 sits 204% off its neighbourhood mean 7.80
WEWIN.NS,2017-09-21,2017-09-22,12.6,57.25,60.7,57.0,60.7,54000.0,5820118.0,3.54365,4.54365,259,2113,34.48500000000001,35.764285714285705,18,0,"Upstox v3 historical, 03:45 canonical; stored bar == fresh re-fetch",NO — series is retroactively adjusted; a CA leaves no jump (6 events verified),UNPROVEN,NO — exceeds every NSE price band and is not reachable intraday,PARTIAL,NO,UNPROVEN,no structural signature strong enough to attribute a cause
